Sample_geo_accession	sample_condition	name
GSM4432378	Mock treated NHBE cells	SARS004_mock_3
GSM4432379	Mock treated NHBE cells	SARS004_mock_2
GSM4432380	Mock treated NHBE cells	SARS004_mock_1
GSM4432381	SARS.CoV.2 infected NHBE cells	SARS004_CoV2_3
GSM4432382	SARS.CoV.2 infected NHBE cells	SARS004_CoV2_2
GSM4432383	SARS.CoV.2 infected NHBE cells	SARS004_CoV2_1
GSM4432384	Mock treated A549 cells	CoV002.mock3.indexG3
GSM4432385	Mock treated A549 cells	CoV002.mock2.indexG2
GSM4432386	Mock treated A549 cells	CoV002.mock1.indexG1
GSM4432387	SARS.CoV.2 infected A549 cells	CoV002.CoV2.3.indexG6
GSM4432388	SARS.CoV.2 infected A549 cells	CoV002.CoV2.2.indexG5
GSM4432389	SARS.CoV.2 infected A549 cells	CoV002.CoV2.1.indexG4
GSM4432390	Mock treated A549 cells	svRNA184.mock.3.indexF3
GSM4432391	Mock treated A549 cells	svRNA184.mock.1.indexF1
GSM4432392	RSV infected A549 cells	svRNA184.RSV.3.indexH9
GSM4432393	RSV infected A549 cells	svRNA184.RSV.1.indexF4
GSM4432394	Mock treated A549 cells	X3_9_mock1_13
GSM4432395	Mock treated A549 cells	X3_9_mock2_14
GSM4432396	AV infected A549 cells	X3_9_wt1_15
